"_type","availability","category","list_price","name","part_number","price","quantity","rating","rating_count","seller","subcategory","thirdparty","uom"
"ProductItem","1","Small Animals","","VitaKraft Yogurt Drops for Guinea Pigs 53 oz Pack of 3","264658962","26.21","3.0","","","Palatial Products","Guinea Pig Treats","true","pk"
"ProductItem","1","Dogs","13.18","Lavaport Dog Muzzle Nylon Dog Head Collar with a Short Leash for Training Controlling","264687918","6.59","","","","Lavaport","Dog Training & Obedience","true",""
"ProductItem","1","Fish","","Exo Terra Reptile Uvb 150 13w","26472776","16.99","","","","Kens Fish Inc","Aquarium Decorations & Plants","true",""
"ProductItem","1","Fish","","Exo Terra Reptile Uvb 150 13w","26472776","19.25","","","","joshsfrogs","Aquarium Decorations & Plants","true",""
"ProductItem","1","Reptiles","15.92","Exo Terra ReptiGlo Tropical Lamp 26W","26472923","13.99","","4.0","1","Walmart","Reptile Lamps & Heaters","false",""
"ProductItem","1","Reptiles","","Exo Terra ReptiGlo Tropical Lamp 26W","26472923","17.95","","4.0","1","Kens Fish Inc","Reptile Lamps & Heaters","true",""
"ProductItem","1","Reptiles","","Exo Terra ReptiGlo Tropical Lamp 26W","26472923","17.98","","4.0","1","ValuePetSupplies","Reptile Lamps & Heaters","true",""
"ProductItem","1","Reptiles","","Exo Terra ReptiGlo Tropical Lamp 26W","26472923","18.78","","4.0","1","joshsfrogs","Reptile Lamps & Heaters","true",""
"ProductItem","1","Reptiles","","Exo Terra ReptiGlo Tropical Lamp 26W","26472923","19.94","","4.0","1","Healthypets","Reptile Lamps & Heaters","true",""
"ProductItem","1","Small Animals","","Ware Mfg Inc Chew Proof 3 Level 30 ChinchillaFerretRat Cage green","264780407","81.99","","","","Overstock","Mouse & Rat Cages","true",""
"ProductItem","1","Farm Animals","","Dr Naylor Dehorning Paste","26501786","9.47","","","","ProMax Commerce","Farm Animal Supplies","true",""
"ProductItem","1","Farm Animals","","Dr Naylor Dehorning Paste","26501786","10.65","","","","Piccard meds 4 pets Corp","Farm Animal Supplies","true",""
"ProductItem","1","Farm Animals","","Dr Naylor Dehorning Paste","26501786","13.43","","","","Rons Home and Hardware","Farm Animal Supplies","true",""
"ProductItem","1","Farm Animals","","Dr Naylor Dehorning Paste","26501786","7.49","","","","Jeffers","Farm Animal Supplies","true",""
"ProductItem","1","Farm Animals","","Dr Naylor Dehorning Paste","26501786","17.99","","","","K Hardware","Farm Animal Supplies","true",""
"ProductItem","1","Farm Animals","","Dr Naylor Dehorning Paste","26501786","19.47","","","","Santa Cruz Animal Health","Farm Animal Supplies","true",""
"ProductItem","1","Farm Animals","","Dr Naylor Dehorning Paste","26501786","19.56","","","","VirVentures","Farm Animal Supplies","true",""
"ProductItem","1","Farm Animals","15.13","Dr Naylor Dehorning Paste","26501786","11.54","","","","UnbeatableSale","Farm Animal Supplies","true",""
"ProductItem","1","Farm Animals","","Dr Naylor Dehorning Paste","26501786","27.25","","","","SlickBlue","Farm Animal Supplies","true",""
"ProductItem","1","Farm Animals","","Naylor H W Co IncBlu Kote Antiseptic With Dauber Cap 4 Ounce","26501788","12.78","4.0","","","ProMax Commerce","Farm Animal Supplies","true","oz"
"ProductItem","1","Farm Animals","","Naylor H W Co IncBlu Kote Antiseptic With Dauber Cap 4 Ounce","26501788","7.19","4.0","","","Jeffers","Farm Animal Supplies","true","oz"
"ProductItem","1","Farm Animals","","Naylor H W Co IncBlu Kote Antiseptic With Dauber Cap 4 Ounce","26501788","14.76","4.0","","","Rons Home and Hardware","Farm Animal Supplies","true","oz"
"ProductItem","1","Farm Animals","","Naylor H W Co IncBlu Kote Antiseptic With Dauber Cap 4 Ounce","26501788","19.34","4.0","","","VirVentures","Farm Animal Supplies","true","oz"
"ProductItem","1","Farm Animals","","Naylor H W Co IncBlu Kote Antiseptic With Dauber Cap 4 Ounce","26501788","19.45","4.0","","","Santa Cruz Animal Health","Farm Animal Supplies","true","oz"
"ProductItem","1","Farm Animals","","Naylor H W Co IncBlu Kote Antiseptic With Dauber Cap 4 Ounce","26501788","27.12","4.0","","","SlickBlue","Farm Animal Supplies","true","oz"
"ProductItem","1","Farm Animals","","Dr Naylor BKP BluKote Veterinary Antiseptic Pump Spray 4 Oz","26501789","10.98","4.0","5.0","1","ProMax Commerce","Farm Animal Supplies","true","oz"
"ProductItem","1","Farm Animals","","Dr Naylor BKP BluKote Veterinary Antiseptic Pump Spray 4 Oz","26501789","11.17","4.0","5.0","1","Little Family Members","Farm Animal Supplies","true","oz"
"ProductItem","1","Farm Animals","","Dr Naylor BKP BluKote Veterinary Antiseptic Pump Spray 4 Oz","26501789","14.98","4.0","5.0","1","Rons Home and Hardware","Farm Animal Supplies","true","oz"
"ProductItem","1","Farm Animals","","Dr Naylor BKP BluKote Veterinary Antiseptic Pump Spray 4 Oz","26501789","18.88","4.0","5.0","1","Santa Cruz Animal Health","Farm Animal Supplies","true","oz"
"ProductItem","1","Farm Animals","","Dr Naylor BKP BluKote Veterinary Antiseptic Pump Spray 4 Oz","26501789","19.95","4.0","5.0","1","VirVentures","Farm Animal Supplies","true","oz"
"ProductItem","1","Horses","","Hoof N Heel Livestock Ointment 16oz","26501792","14.44","","","","Santa Cruz Animal Health","Horse Health Care","true",""
"ProductItem","1","Horses","","Hoof N Heel Livestock Ointment 16oz","26501792","15.21","","","","ProMax Commerce","Horse Health Care","true",""
"ProductItem","1","Horses","","Hoof N Heel Livestock Ointment 16oz","26501792","9.99","","","","Toolboxsupply","Horse Health Care","true",""
"ProductItem","1","Horses","","Hoof N Heel Livestock Ointment 16oz","26501792","8.55","","","","Ablackhorse","Horse Health Care","true",""
"ProductItem","1","Horses","","Hoof N Heel Livestock Ointment 16oz","26501792","16.72","","","","NVC Livestock Concepts","Horse Health Care","true",""
"ProductItem","1","Horses","","Hoof N Heel Livestock Ointment 16oz","26501792","18.33","","","","Rons Home and Hardware","Horse Health Care","true",""
"ProductItem","1","Horses","","Hoof N Heel Livestock Ointment 16oz","26501792","18.99","","","","K Hardware","Horse Health Care","true",""
"ProductItem","1","Horses","","Hoof N Heel Livestock Ointment 16oz","26501792","22.37","","","","VirVentures","Horse Health Care","true",""
"ProductItem","1","Horses","20.22","Hoof N Heel Livestock Ointment 16oz","26501792","15.45","","","","UnbeatableSale","Horse Health Care","true",""
"ProductItem","1","Horses","","Hoof N Heel Livestock Ointment 16oz","26501792","32.82","","","","SlickBlue","Horse Health Care","true",""
"ProductItem","1","Small Animals","","Kaytee Products IncForti Diet Prohealth Honey Stick Hamstergerbil 8 Ounce","26501825","7.99","8.0","","","ProMax Commerce","Small Animal Food","true","oz"
"ProductItem","1","Small Animals","","Kaytee Products IncForti Diet Prohealth Honey Stick Hamstergerbil 8 Ounce","26501825","4.12","8.0","","","Ablackhorse","Small Animal Food","true","oz"
